query_name;avg_time;max_time;min_time;total_no
qd2.sql;39;117;1;6
vf4.sql;8467;83400;14;10
vd7.sql;49;115;1;4
duc6.sql;891;82330;0;107
dp4.sql;512;909;116;2
sd2.sql;23;50;1;6
qd3.sql;74;88;40;5
vd3.sql;46;81;26;4
dsv3.sql;48;109;2;4
dsv5.sql;15708;156463;5;10
dp1.sql;45;133;0;8
qd1.sql;10278;51092;2;5
vf2b.sql;108;206;2;5
sd3.sql;107;107;107;1
duc2.sql;1396;83128;0;129
vf3b.sql;51;81;25;6
duc7.sql;1467;83701;0;119
qd4.sql;52;93;9;4
dsv5b.sql;77;235;1;6
dsv4.sql;704;2471;26;5
duc3.sql;62;678;0;120
dsv6.sql;230;1038;4;6
vd5.sql;64;91;2;8
dp2.sql;47;124;1;7
qd5.sql;82;122;50;6
vf2.sql;49;117;7;5
dv1.sql;53;117;5;5
dsv1.sql;2;2;2;1
vd1.sql;33;100;1;6
vf3.sql;40;113;1;7
duc4.sql;973;82166;0;91
dp3.sql;76;124;25;4
qd6.sql;71;183;6;6
duc1.sql;743;80462;0;120
sd1.sql;57;114;1;4
vd6.sql;79;250;1;6
duc5.sql;106;4313;0;106
dsv2.sql;241;1075;1;5
vd2.sql;8562;84959;2;10
