query_name;avg_time;max_time;min_time;total_no
qd2.sql;16;209;0;39
vf4.sql;3;12;1;6
vd7.sql;2835;82827;0;58
sd2.sql;64;980;0;46
dp4.sql;1688;75805;0;46
duc6.sql;15;59;1;4
qd3.sql;50;689;0;65
vd3.sql;110;4778;0;49
dsv3.sql;25;135;0;6
dsv5.sql;14;50;1;6
dp1.sql;1360;51180;0;39
qd1.sql;47;848;0;38
sd3.sql;4168;202131;0;49
vf2b.sql;68;118;18;2
duc2.sql;1;1;1;2
vf3b.sql;31;97;1;4
qd4.sql;1660;73723;0;46
duc7.sql;1;4;0;6
dsv5b.sql;34;144;0;6
dsv4.sql;2;4;1;2
vd5.sql;27;211;1;40
duc3.sql;33;65;1;2
dsv6.sql;134;186;83;2
dp2.sql;29;155;0;47
qd5.sql;21;232;0;54
vf2.sql;25;116;1;5
dv1.sql;4;13;1;5
dsv1.sql;46;67;3;4
vd1.sql;17;145;0;43
vf3.sql;44;150;1;5
duc4.sql;54;212;1;4
dp3.sql;69;1376;0;47
qd6.sql;1751;74642;0;45
duc1.sql;22;68;0;3
sd1.sql;35;191;0;36
vd6.sql;87;2640;0;46
duc5.sql;143;428;3;4
dsv2.sql;35;169;2;5
vd2.sql;25;208;0;53
