query_name;avg_time;max_time;min_time;total_no
duc6.cy;444;23020;44;60
duc4.cy;89;230;66;71
duc2.cy;238;15503;31;79
dsv5b.cy;5;7;3;9
vd5.cy;28;277;4;16
qd3.cy;38;271;12;12
vd3.cy;259;3829;3;15
qd1.cy;13;136;3;16
vd7.cy;49;725;5;17
qd5.cy;22;177;4;10
vf3.cy;22;406;4;24
dsv5.cy;5;12;4;15
vd2.cy;13;86;6;19
sd2.cy;76;379;44;20
dp2.cy;9;67;3;14
dsv1.cy;149;689;74;17
dsv3.cy;6;30;3;12
dp4.cy;8;63;3;15
duc7.cy;34;151;23;67
vf2b.cy;5;8;4;17
dv1.cy;5;19;3;12
duc3.cy;106;1543;62;62
duc5.cy;277;13944;65;74
duc1.cy;6;47;3;57
qd2.cy;8;120;3;24
vd6.cy;56;171;36;11
vf3b.cy;4;10;3;19
qd4.cy;22;184;3;17
qd6.cy;81;1293;3;17
vf4.cy;35;581;4;19
dsv6.cy;12350;47324;4286;16
sd1.cy;66;109;47;23
vf2.cy;2040;25443;70;13
dsv4.cy;8364;22303;6499;17
sd3.cy;75;101;60;7
vd1.cy;9;74;4;19
dp1.cy;5;23;3;15
dp3.cy;9;92;3;17
dsv2.cy;378;1691;215;11
