query_name;avg_time;max_time;min_time;total_no
duc6.cy;3087;39253;46;13
duc4.cy;83;145;69;20
duc2.cy;47;128;33;16
dsv5b.cy;4;10;3;70
vd5.cy;34;476;3;16
qd3.cy;30;253;14;20
vd3.cy;27;364;3;15
qd1.cy;29;401;3;16
vd7.cy;85;867;6;11
qd5.cy;11;113;5;20
vf3.cy;100;1434;4;15
dsv5.cy;5;62;3;62
vd2.cy;13;104;6;17
sd2.cy;56;131;40;13
dsv1.cy;101;484;75;64
dp2.cy;5;36;3;26
dp4.cy;203;3590;3;18
dsv3.cy;4;30;3;56
duc7.cy;418;8174;25;21
vf2b.cy;9;56;3;12
dv1.cy;5;53;3;68
duc3.cy;104;247;72;6
duc5.cy;537;3611;87;8
duc1.cy;5;16;4;20
qd2.cy;13;147;3;15
vd6.cy;46;121;37;18
vf3b.cy;4;8;3;16
qd4.cy;43;550;3;14
qd6.cy;21;300;3;17
sd1.cy;148;865;51;9
dsv6.cy;12784;47421;4833;57
vf4.cy;19;270;4;19
vf2.cy;1037;14363;68;15
dsv4.cy;6793;22073;5129;53
sd3.cy;68;125;56;14
vd1.cy;12;111;4;15
dp1.cy;7;61;3;16
dsv2.cy;270;2353;200;54
dp3.cy;7;67;3;20
