query_name;avg_time;max_time;min_time;total_no
duc7.sparql;681;1192;580;13
duc6.sparql;146;372;88;8
vd7.sparql;923;1423;830;36
vf2b.sparql;2454;3303;2176;8
vd6.sparql;101;2366;34;42
vf3b.sparql;1818;2626;1556;8
dsv5b.sparql;6526;7170;5876;5
sd1.sparql;15;154;7;32
dv1.sparql;9;44;4;9
duc1.sparql;13;70;6;9
vd2.sparql;690;1050;614;41
vd3.sparql;38;125;25;45
vd5.sparql;962;14652;583;51
vd1.sparql;11;49;6;40
vf2.sparql;4928;6759;3919;11
vf3.sparql;4394;5196;4062;7
duc2.sparql;648;1197;550;11
duc4.sparql;278;680;162;9
duc3.sparql;36;85;20;7
duc5.sparql;606;975;516;12
vf4.sparql;2088;4466;1803;13
sd3.sparql;13;74;8;40
sd2.sparql;12;50;7;50
dp3.sparql;14;64;8;49
qd4.sparql;936;1190;880;49
dsv2.sparql;52;374;8;9
qd3.sparql;676;1017;629;34
dsv1.sparql;57;57;57;1
dsv4.sparql;3481;7887;2782;14
dsv3.sparql;10;54;3;9
qd1.sparql;25;44;18;45
qd2.sparql;508;810;413;59
qd5.sparql;446;628;386;33
qd6.sparql;1022;1101;1012;32
dsv5.sparql;3790;5001;3520;9
dsv6.sparql;573;758;514;10
dp1.sparql;7;87;3;41
dp4.sparql;17;121;9;39
dp2.sparql;10;29;7;35
