query_name;avg_time;max_time;min_time;total_no
duc7.sparql;928;1201;655;2
duc6.sparql;247;298;163;3
vd7.sparql;954;981;927;2
vf2b.sparql;2542;4069;2103;172
vd6.sparql;33;45;21;2
vf3b.sparql;1772;2744;1556;162
dsv5b.sparql;5625;5835;5416;2
sd1.sparql;610;1779;14;3
dv1.sparql;53;53;53;1
duc1.sparql;42;75;10;2
vd5.sparql;711;858;627;4
vd3.sparql;70;110;30;2
vd2.sparql;702;773;631;2
vf2.sparql;4521;9250;3701;171
vf3.sparql;4202;9718;3755;182
duc3.sparql;37;84;20;4
duc4.sparql;229;450;168;5
duc2.sparql;833;1251;613;3
duc5.sparql;1090;1193;987;2
vf4.sparql;1926;4968;1797;187
sd3.sparql;25;80;10;7
dp3.sparql;33;33;33;1
dsv1.sparql;17;42;4;4
qd3.sparql;739;1016;643;5
qd4.sparql;918;918;918;1
dsv3.sparql;20;46;6;3
dsv4.sparql;3394;4669;2725;6
qd1.sparql;104;104;104;1
qd2.sparql;495;715;423;6
qd5.sparql;418;448;382;5
qd6.sparql;1028;1042;1014;2
dsv5.sparql;3299;3800;3071;5
dsv6.sparql;548;588;526;3
dp1.sparql;5;6;4;5
dp4.sparql;38;106;14;4
dp2.sparql;11;18;8;4
