query_name;avg_time;max_time;min_time;total_no
duc7.sparql;38;88;21;4
duc6.sparql;24;60;12;4
vd7.sparql;114;147;81;2
vf2b.sparql;74;103;52;3
vd6.sparql;31;31;31;1
dsv5b.sparql;15998;22809;14972;93
vf3b.sparql;3003;3003;3003;1
dv1.sparql;3;26;2;147
sd1.sparql;22;51;8;3
duc1.sparql;30;130;12;7
vd2.sparql;18;22;16;3
vd1.sparql;9;20;4;4
vd3.sparql;32;52;13;2
vd5.sparql;73;113;52;3
vf2.sparql;133;202;111;5
vf3.sparql;2283;3655;1563;4
duc5.sparql;355;518;271;3
duc2.sparql;19;21;17;4
duc4.sparql;39;46;32;5
duc3.sparql;29;53;6;2
sd3.sparql;25;25;25;1
vf4.sparql;1058;1786;330;2
sd2.sparql;2;3;2;5
dp3.sparql;30;55;5;2
dsv1.sparql;113;1198;67;97
dsv2.sparql;36;53;29;108
qd4.sparql;119;549;9;5
qd3.sparql;25;42;16;3
dsv4.sparql;1615;3807;1441;95
dsv3.sparql;3;112;1;123
qd1.sparql;6;10;5;7
qd5.sparql;39;77;25;5
qd2.sparql;10;19;7;4
qd6.sparql;91;165;54;3
dsv5.sparql;3037;18517;2657;96
dsv6.sparql;91;306;75;109
dp1.sparql;25;25;25;1
dp2.sparql;10;14;6;2
dp4.sparql;8;13;6;7
