query_name;avg_time;max_time;min_time;total_no
duc7.sparql;20;30;18;9
duc6.sparql;16;60;10;10
vd7.sparql;87;260;72;50
vf2b.sparql;66;348;42;17
vd6.sparql;18;57;14;33
vf3b.sparql;1552;2876;1449;16
dsv5b.sparql;15794;22688;14928;11
sd1.sparql;7;10;6;30
dv1.sparql;6;46;2;13
duc1.sparql;35;286;11;12
vd3.sparql;11;82;7;39
vd5.sparql;58;112;49;38
vd1.sparql;11;333;3;47
vd2.sparql;15;56;12;40
vf2.sparql;124;200;111;12
vf3.sparql;1808;4152;1564;11
duc4.sparql;99;776;25;13
duc2.sparql;18;44;16;17
duc5.sparql;298;487;269;14
duc3.sparql;7;34;5;18
sd3.sparql;7;131;3;43
vf4.sparql;485;2042;336;13
sd2.sparql;2;5;1;43
dp3.sparql;4;9;4;29
dsv2.sparql;37;52;29;13
dsv1.sparql;230;2321;61;16
qd3.sparql;16;36;14;41
qd4.sparql;9;21;7;25
dsv4.sparql;1699;3901;1442;10
dsv3.sparql;4;31;2;15
qd1.sparql;5;15;4;44
qd2.sparql;23;500;6;31
qd5.sparql;27;51;23;40
qd6.sparql;62;174;51;26
dsv5.sparql;3114;6263;2684;13
dsv6.sparql;98;195;76;13
dp1.sparql;6;177;2;43
dp2.sparql;3;5;3;33
dp4.sparql;6;12;4;34
