query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;38.0;18.0;24.4;6.10386294547501;18.0;18.0;18.0;15
duc6.sparql;71.0;11.0;14.80952380952381;13.017753445272524;11.0;11.0;11.0;21
vd7.sparql;574.0;74.0;105.16000000000001;98.53158546036562;74.0;74.0;74.0;25
vf2b.sparql;379.0;42.0;66.29411764705881;80.68283949041019;42.0;42.0;42.0;17
vd6.sparql;35.0;14.0;17.4;4.573474244670748;14.0;14.0;14.0;25
vf3b.sparql;5802.0;1526.0;1894.0625;1073.7962853819154;1526.0;1526.0;1526.0;16
dsv5b.sparql;17680.0;14920.0;15485.904761904761;738.4768719981627;14920.0;14920.0;14920.0;21
sd1.sparql;60.0;6.0;9.5;10.385566907973777;6.0;6.0;6.0;26
dv1.sparql;107.0;2.0;8.333333333333334;21.245814067354914;2.0;2.0;2.0;27
duc1.sparql;80.0;12.0;17.55;14.90840455299592;12.0;12.0;12.0;20
vd3.sparql;785.0;7.0;30.297297297297305;127.53057691411912;7.0;7.0;7.0;37
vd5.sparql;116.0;49.0;58.645161290322584;12.265258217411688;49.0;49.0;49.0;31
vd2.sparql;49.0;12.0;16.34375;6.621613559324665;12.0;12.0;12.0;32
vd1.sparql;38.0;3.0;5.611111111111111;5.693493919894272;3.0;3.0;3.0;36
vf2.sparql;296.0;108.0;127.23529411764706;45.047931988833724;108.0;108.0;108.0;17
vf3.sparql;4414.0;1500.0;1678.7272727272727;630.254233042824;1500.0;1500.0;1500.0;22
duc5.sparql;542.0;272.0;293.85714285714283;59.42918955722493;272.0;272.0;272.0;21
duc4.sparql;42.0;25.0;30.346153846153847;4.890335838711348;25.0;25.0;25.0;26
duc3.sparql;133.0;6.0;17.375;32.248772586461854;6.0;6.0;6.0;16
duc2.sparql;28.0;16.0;18.85;4.029823033857756;16.0;16.0;16.0;20
vf4.sparql;1698.0;334.0;429.8;350.85654374076347;334.0;334.0;334.0;15
sd3.sparql;6.0;3.0;4.181818181818182;0.8461141122266491;3.0;3.0;3.0;33
sd2.sparql;3.0;1.0;1.8461538461538463;0.5434929763894061;1.0;1.0;1.0;26
dp3.sparql;12.0;4.0;5.916666666666667;1.9318084941243565;4.0;4.0;4.0;24
qd3.sparql;53.0;14.0;17.620689655172413;7.2870422821385405;14.0;14.0;14.0;29
qd4.sparql;39.0;7.0;9.615384615384617;6.106238928027122;7.0;7.0;7.0;26
dsv1.sparql;2419.0;62.0;185.5;456.15525865652364;62.0;62.0;62.0;26
dsv2.sparql;53.0;29.0;33.875;7.419568720619818;29.0;29.0;29.0;16
dsv4.sparql;2288.0;1347.0;1536.8;368.0058617545572;1347.0;1347.0;1347.0;15
dsv3.sparql;26.0;2.0;3.2857142857142865;5.216731324717201;2.0;2.0;2.0;21
qd1.sparql;10.0;4.0;5.380952380952381;1.2087562838615074;4.0;4.0;4.0;42
qd5.sparql;418.0;23.0;42.75;80.01698189324782;23.0;23.0;23.0;24
qd2.sparql;16.0;6.0;7.552631578947368;1.9959061942569134;6.0;6.0;6.0;38
qd6.sparql;114.0;52.0;61.535714285714285;12.218632228894261;52.0;52.0;52.0;28
dsv5.sparql;6542.0;2617.0;2946.375;774.0913221319562;2617.0;2617.0;2617.0;24
dsv6.sparql;679.0;76.0;118.15789473684212;136.84308254261921;76.0;76.0;76.0;19
dp1.sparql;35.0;1.0;3.567567567567567;5.351741879158705;1.0;1.0;1.0;37
dp2.sparql;579.0;3.0;23.066666666666663;105.00276953107189;3.0;3.0;3.0;30
dp4.sparql;12.0;5.0;6.580645161290322;1.875707751727991;5.0;5.0;5.0;31
