query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;39.0;16.0;20.25;4.639855694907463;16.0;16.0;16.0;116
duc6.sparql;184.0;10.0;13.716417910447758;14.95738907109252;10.0;10.0;10.0;134
vd7.sparql;209.0;75.0;142.0;94.75230867899737;75.0;75.0;75.0;2
vf2b.sparql;84.0;55.0;64.5;13.32916601542147;55.0;55.0;55.0;4
vd6.sparql;21.0;10.0;12.75;5.5;10.0;10.0;10.0;4
dsv5b.sparql;15381.0;14488.0;14934.5;631.4463555995869;14488.0;14488.0;14488.0;2
dv1.sparql;191.0;2.0;49.75;94.16784660027717;2.0;2.0;2.0;4
sd1.sparql;61.0;7.0;25.666666666666664;30.615900008546756;7.0;7.0;7.0;3
duc1.sparql;203.0;11.0;14.961538461538463;16.764397420444404;11.0;11.0;11.0;130
vd3.sparql;69.0;69.0;69.0;0.0;69.0;69.0;69.0;1
vd1.sparql;358.0;3.0;92.5;177.00188322915287;3.0;3.0;3.0;4
vd5.sparql;111.0;44.0;59.714285714285715;23.76071187004776;44.0;44.0;44.0;7
vd2.sparql;39.0;13.0;19.333333333333332;10.092901796146966;13.0;13.0;13.0;6
vf2.sparql;1283.0;98.0;273.57142857142856;445.1362552233706;98.0;98.0;98.0;7
vf3.sparql;4057.0;4057.0;4057.0;0.0;4057.0;4057.0;4057.0;1
duc5.sparql;1407.0;282.0;308.73333333333335;108.79034909412883;282.0;282.0;282.0;120
duc4.sparql;40.0;24.0;27.764150943396228;4.150850484952169;24.0;24.0;24.0;106
duc3.sparql;99.0;5.0;7.455223880597013;8.065162875301349;5.0;5.0;5.0;134
duc2.sparql;62.0;14.0;18.26865671641791;5.443025721883915;14.0;14.0;14.0;134
vf4.sparql;1458.0;260.0;659.3333333333334;691.6656224891716;260.0;260.0;260.0;3
sd3.sparql;6.0;6.0;6.0;0.0;6.0;6.0;6.0;1
sd2.sparql;3.0;2.0;2.4;0.5477225575051661;2.0;2.0;2.0;5
dp3.sparql;19.0;4.0;6.666666666666666;6.0553007081949835;4.0;4.0;4.0;6
dsv2.sparql;42.0;29.0;35.5;9.192388155425117;29.0;29.0;29.0;2
qd4.sparql;64.0;8.0;36.0;39.59797974644666;8.0;8.0;8.0;2
dsv1.sparql;2400.0;86.0;857.6666666666667;1335.6999413540952;86.0;86.0;86.0;3
qd3.sparql;23.0;15.0;19.0;5.656854249492381;15.0;15.0;15.0;2
dsv3.sparql;21.0;21.0;21.0;0.0;21.0;21.0;21.0;1
dsv4.sparql;2321.0;2321.0;2321.0;0.0;2321.0;2321.0;2321.0;1
qd1.sparql;8.0;4.0;6.5;1.7320508075688772;4.0;4.0;4.0;4
qd2.sparql;160.0;7.0;46.25;75.83919391273442;7.0;7.0;7.0;4
qd6.sparql;117.0;51.0;74.33333333333333;37.00450423034111;51.0;51.0;51.0;3
qd5.sparql;70.0;23.0;38.666666666666664;27.135462651912412;23.0;23.0;23.0;3
dsv5.sparql;5944.0;2723.0;3619.0;1555.1722305476865;2723.0;2723.0;2723.0;4
dsv6.sparql;238.0;77.0;157.5;113.84419177103415;77.0;77.0;77.0;2
dp1.sparql;216.0;4.0;110.0;149.90663761154806;4.0;4.0;4.0;2
dp4.sparql;33.0;4.0;9.666666666666668;11.465891446663301;4.0;4.0;4.0;6
dp2.sparql;6.0;4.0;5.0;1.4142135623730951;4.0;4.0;4.0;2
