query_name;avg_time;max_time;min_time;total_no
duc7.sparql;35;170;18;14
duc6.sparql;27;146;12;9
vd7.sparql;99;222;75;8
vf2b.sparql;49;70;42;17
vd6.sparql;20;51;14;10
dsv5b.sparql;16025;22720;14960;76
vf3b.sparql;1719;2906;1518;11
dv1.sparql;5;184;2;70
sd1.sparql;20;115;7;14
duc1.sparql;18;86;12;16
vd3.sparql;42;451;7;13
vd1.sparql;34;473;4;16
vd5.sparql;64;151;49;12
vd2.sparql;16;40;12;20
vf2.sparql;271;1861;111;12
vf3.sparql;1778;3210;1540;14
duc3.sparql;9;46;6;17
duc2.sparql;18;31;16;16
duc4.sparql;30;45;25;15
duc5.sparql;308;487;282;9
sd3.sparql;7;36;3;11
vf4.sparql;430;1491;334;13
sd2.sparql;1;3;1;12
dp3.sparql;6;20;4;11
dsv1.sparql;139;2395;60;65
dsv2.sparql;35;79;29;70
qd3.sparql;34;268;14;16
qd4.sparql;9;19;7;13
dsv3.sparql;2;30;1;60
dsv4.sparql;1480;3571;1346;68
qd1.sparql;5;9;4;17
qd5.sparql;47;203;24;11
qd2.sparql;9;14;6;17
qd6.sparql;58;104;46;15
dsv5.sparql;2908;6685;2617;73
dsv6.sparql;98;1169;75;79
dp1.sparql;5;31;2;8
dp4.sparql;7;11;5;8
dp2.sparql;5;15;3;19
