query_name;avg_time;max_time;min_time;total_no
duc7.sparql;43;68;18;2
duc6.sparql;31;70;11;3
vd7.sparql;113;150;77;2
vf2b.sparql;57;231;52;172
vd6.sparql;18;20;16;2
vf3b.sparql;1619;2506;1587;162
dsv5b.sparql;13923;14032;13814;2
sd1.sparql;147;431;6;3
dv1.sparql;170;170;170;1
duc1.sparql;43;69;18;2
vd5.sparql;73;131;47;4
vd3.sparql;11;16;7;2
vd2.sparql;33;48;18;2
vf2.sparql;113;1636;97;171
vf3.sparql;1078;4216;1040;182
duc3.sparql;17;50;6;4
duc4.sparql;31;57;24;5
duc2.sparql;17;18;16;3
duc5.sparql;407;523;291;2
vf4.sparql;272;2945;248;187
sd3.sparql;4;7;3;7
dp3.sparql;6;6;6;1
dsv1.sparql;446;1518;80;4
qd3.sparql;23;58;14;5
qd4.sparql;13;13;13;1
dsv3.sparql;9;22;2;3
dsv4.sparql;1540;2085;1349;6
qd1.sparql;155;155;155;1
qd2.sparql;9;26;6;6
qd5.sparql;95;384;23;5
qd6.sparql;72;95;49;2
dsv5.sparql;4833;15624;1636;5
dsv6.sparql;110;171;78;3
dp1.sparql;7;26;2;5
dp4.sparql;12;33;4;4
dp2.sparql;4;8;3;4
