query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc6.cy;2671.0;48.0;353.1111111111111;869.2593750493066;48.0;48.0;48.0;9
duc4.cy;13731.0;70.0;1449.4000000000003;4315.3311756521725;70.0;70.0;70.0;10
duc2.cy;120.0;37.0;58.166666666666664;31.08322162625146;37.0;37.0;37.0;6
vd5.cy;153.0;3.0;36.8;65.23189403964903;3.0;3.0;3.0;5
qd3.cy;248.0;16.0;81.2;96.4530974100884;16.0;16.0;16.0;5
vd3.cy;96.0;4.0;22.8;40.92309861190866;4.0;4.0;4.0;5
vd7.cy;3306.0;7.0;338.8999999999999;1042.534566439992;7.0;7.0;7.0;10
qd1.cy;67.0;3.0;8.0;16.344505411386947;3.0;3.0;3.0;15
qd5.cy;1078.0;4.0;82.14285714285717;286.6289096866048;4.0;4.0;4.0;14
vf3.cy;7178.0;4.0;60.610687022900834;626.6378978020987;4.0;4.0;4.0;131
vd2.cy;124.0;7.0;28.666666666666664;46.75325300625259;7.0;7.0;7.0;6
sd2.cy;1113.0;44.0;234.0;430.7068608694317;44.0;44.0;44.0;6
dp2.cy;58.0;3.0;8.571428571428573;14.495167819307579;3.0;3.0;3.0;14
dsv1.cy;646.0;97.0;199.14285714285717;198.41574918289504;97.0;97.0;97.0;7
dp4.cy;65.0;4.0;13.0;22.93468988235943;4.0;4.0;4.0;7
dsv3.cy;21.0;3.0;5.9;5.546770832355225;3.0;3.0;3.0;10
duc7.cy;7591.0;26.0;726.2727272727275;2276.805046151694;26.0;26.0;26.0;11
vf2b.cy;13.0;3.0;5.246153846153847;1.8386949300836513;3.0;3.0;3.0;130
dv1.cy;23.0;3.0;7.666666666666666;7.633260552782583;3.0;3.0;3.0;6
duc3.cy;193.0;66.0;96.4;37.31011182567595;66.0;66.0;66.0;10
duc5.cy;460.0;82.0;138.3;113.85473200530579;82.0;82.0;82.0;10
duc1.cy;12.0;3.0;5.0;2.7386127875258306;3.0;3.0;3.0;9
qd2.cy;87.0;3.0;13.111111111111109;27.714817537034428;3.0;3.0;3.0;9
vd6.cy;483.0;38.0;112.0;163.8169710378018;38.0;38.0;38.0;7
vf3b.cy;47.0;3.0;5.496598639455781;4.642528464456174;3.0;3.0;3.0;147
qd4.cy;231.0;3.0;30.333333333333332;75.2977423300327;3.0;3.0;3.0;9
qd6.cy;1227.0;3.0;76.3529411764706;296.5157966231459;3.0;3.0;3.0;17
vf4.cy;530.0;4.0;11.542635658914737;48.8742019998694;4.0;4.0;4.0;129
dsv6.cy;47118.0;9278.0;14651.4;11441.36997624556;9278.0;9278.0;9278.0;10
sd1.cy;146.0;54.0;74.75;30.39619337069317;54.0;54.0;54.0;8
vf2.cy;50477.0;66.0;438.6870748299311;4155.546187998059;66.0;66.0;66.11;147
dsv4.cy;22121.0;5414.0;7604.6;5128.0146949000755;5414.0;5414.0;5414.0;10
sd3.cy;256.0;58.0;88.625;67.80631555077616;58.0;58.0;58.0;8
vd1.cy;37.0;4.0;12.75;16.17353805861084;4.0;4.0;4.0;4
dp1.cy;15.0;3.0;5.666666666666666;3.7749172176353745;3.0;3.0;3.0;9
dp3.cy;100.0;3.0;11.071428571428573;25.67088828799085;3.0;3.0;3.0;14
dsv2.cy;1844.0;214.0;410.54545454545456;476.8969204422196;214.0;214.0;214.0;11
