query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc6.cy;23931.0;44.0;267.51304347826067;2226.0371852839703;44.0;44.0;44.0;115
duc4.cy;13760.0;65.0;192.94444444444417;1218.418819983051;65.0;65.0;65.0;126
duc2.cy;1101.0;28.0;48.58267716535433;94.55882866496492;28.0;28.0;28.0;127
qd3.cy;291.0;13.0;63.16666666666667;111.6681094434157;13.0;13.0;13.0;6
vd3.cy;238.0;3.0;46.66666666666667;93.91627476996022;3.0;3.0;3.0;6
qd1.cy;59.0;4.0;23.0;31.192947920964443;4.0;4.0;4.0;3
qd5.cy;130.0;5.0;47.0;71.88184749990779;5.0;5.0;5.0;3
vf3.cy;550.0;5.0;187.0;314.3676191976521;5.0;5.0;5.0;3
vd2.cy;105.0;10.0;57.5;67.17514421272202;10.0;10.0;10.0;2
sd2.cy;174.0;48.0;84.5;59.852596713370204;48.0;48.0;48.0;4
dsv1.cy;440.0;93.0;169.5;134.09958985768748;93.0;93.0;93.0;6
dp2.cy;40.0;3.0;21.5;26.16295090390226;3.0;3.0;3.0;2
dsv3.cy;19.0;19.0;19.0;0.0;19.0;19.0;19.0;1
dp4.cy;64.0;64.0;64.0;0.0;64.0;64.0;64.0;1
duc7.cy;17889.0;21.0;150.8918918918919;1468.014282563818;21.0;21.0;21.1175;148
dv1.cy;15.0;4.0;9.5;7.7781745930520225;4.0;4.0;4.0;2
duc3.cy;1570.0;65.0;97.72727272727272;142.57963550375513;65.0;65.0;65.0;110
duc5.cy;552.0;63.0;86.98496240601504;42.63587637161742;63.0;63.0;63.0;133
duc1.cy;40.0;3.0;5.097014925373136;3.6826547366743525;3.0;3.0;3.0;134
vd6.cy;131.0;44.0;75.0;48.590122453025366;44.0;44.0;44.0;3
vf3b.cy;9.0;4.0;5.166666666666667;2.0412414523193148;4.0;4.0;4.0;6
qd4.cy;903.0;3.0;304.0;518.7513855403183;3.0;3.0;3.0;3
qd6.cy;383.0;383.0;383.0;0.0;383.0;383.0;383.0;1
dsv6.cy;47667.0;4648.0;26157.5;30419.02661986409;4648.0;4648.0;4648.0;2
sd1.cy;119.0;75.0;97.0;31.11269837220809;75.0;75.0;75.0;2
vf4.cy;307.0;5.0;67.0;134.1733952764109;5.0;5.0;5.0;5
vf2.cy;25479.0;90.0;12784.5;17952.734067545254;90.0;90.0;90.0;2
dsv4.cy;21379.0;6080.0;9473.4;6666.799217015614;6080.0;6080.0;6080.0;5
sd3.cy;1710.0;1710.0;1710.0;0.0;1710.0;1710.0;1710.0;1
vd1.cy;45.0;5.0;12.0;16.174053295324583;5.0;5.0;5.0;6
dp1.cy;23.0;3.0;9.666666666666666;11.547005383792516;3.0;3.0;3.0;3
dp3.cy;325.0;4.0;111.0;185.32943640986986;4.0;4.0;4.0;3
dsv2.cy;1477.0;1477.0;1477.0;0.0;1477.0;1477.0;1477.0;1
