query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;1154.0;514.0;635.2444444444444;207.90838037873883;514.0;514.0;514.0;90
duc6.sparql;3224.0;88.0;156.25531914893622;323.59904621821426;88.0;88.0;88.0;94
vd7.sparql;1019.0;821.0;927.4285714285714;93.11436900009426;821.0;821.0;821.0;7
vf2b.sparql;5291.0;2138.0;2934.875;1055.6509755325653;2138.0;2138.0;2138.0;8
vd6.sparql;47.0;19.0;29.0;12.987173159185437;19.0;19.0;19.0;4
vf3b.sparql;3506.0;1533.0;1812.5294117647059;483.51630241997253;1533.0;1533.0;1533.0;17
sd1.sparql;100.0;7.0;17.4;23.083079764809796;7.0;7.0;7.0;15
dv1.sparql;19.0;3.0;6.4;4.6475800154489;3.0;3.0;3.0;10
duc1.sparql;207.0;4.0;9.696078431372555;20.057733115593173;4.0;4.0;4.0;102
vd1.sparql;65.0;7.0;18.142857142857146;20.747920148202578;7.0;7.0;7.0;7
vd3.sparql;137.0;27.0;51.5;36.257019024892664;27.0;27.0;27.0;8
vd5.sparql;998.0;567.0;648.1111111111111;142.85521030438866;567.0;567.0;567.0;9
vd2.sparql;972.0;616.0;689.5;139.15279371970942;616.0;616.0;616.0;6
vf2.sparql;6206.0;3831.0;4840.5;1023.5953790438876;3831.0;3831.0;3831.0;6
vf3.sparql;5556.0;3803.0;4145.461538461538;638.396769961625;3803.0;3803.0;3803.0;13
duc5.sparql;1892.0;475.0;597.6203703703703;202.72036435253864;475.0;475.0;475.0;108
duc2.sparql;1243.0;486.0;633.8700000000001;224.3982145358307;486.0;486.0;486.0;100
duc3.sparql;122.0;19.0;31.86315789473684;14.473461059055479;19.0;19.0;19.0;95
duc4.sparql;311.0;150.0;184.88785046728972;48.292607954756065;150.0;150.0;150.0;107
sd3.sparql;72.0;10.0;21.3;18.30027322200409;10.0;10.0;10.0;10
vf4.sparql;2547.0;1796.0;1956.0;296.5434200922354;1796.0;1796.0;1796.0;6
sd2.sparql;32.0;9.0;15.5;7.3484692283495345;9.0;9.0;9.0;8
dp3.sparql;63.0;9.0;17.636363636363633;15.622245211701978;9.0;9.0;9.0;11
qd3.sparql;1017.0;645.0;780.6315789473684;150.70471884019344;645.0;645.0;645.0;19
dsv2.sparql;102.0;8.0;19.90909090909091;27.533450729810625;8.0;8.0;8.0;11
dsv1.sparql;44.0;3.0;10.833333333333332;16.265505423031488;3.0;3.0;3.0;6
qd4.sparql;2157.0;883.0;1172.0;553.2494916400738;883.0;883.0;883.0;5
dsv4.sparql;8095.0;2649.0;4176.25;2619.01831163256;2649.0;2649.0;2649.0;4
dsv3.sparql;38.0;3.0;10.166666666666668;13.673575489485794;3.0;3.0;3.0;6
qd1.sparql;214.0;19.0;46.39999999999999;59.45530534219242;19.0;19.0;19.0;10
qd2.sparql;1081.0;405.0;554.25;195.9012390326959;405.0;405.0;405.0;12
qd5.sparql;595.0;363.0;439.75;74.35772608526587;363.0;363.0;363.0;8
qd6.sparql;1055.0;1012.0;1021.2727272727273;12.075519939869334;1012.0;1012.0;1012.0;11
dsv6.sparql;1847.0;482.0;673.2;429.2685768969249;482.0;482.0;482.0;10
dp1.sparql;56.0;3.0;13.0;21.090282122342508;3.0;3.0;3.0;6
dp4.sparql;374.0;12.0;43.416666666666664;104.11834030505281;12.0;12.0;12.0;12
dp2.sparql;68.0;8.0;14.928571428571427;15.434548089441254;8.0;8.0;8.0;14
