query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;688.0;605.0;625.5833333333334;22.374735481761295;605.0;605.0;605.0;12
duc6.sparql;208.0;95.0;134.33333333333334;48.44653410375882;95.0;95.0;95.0;6
vd7.sparql;1044.0;840.0;932.75;89.58754696624175;840.0;840.0;840.0;8
vf2b.sparql;3904.0;2200.0;2515.7264150943397;392.17779090171564;2200.0;2200.0;2200.0;106
vd6.sparql;67.0;18.0;27.357142857142854;12.851860941915364;18.0;18.0;18.0;14
vf3b.sparql;10741.0;1542.0;1870.2543859649122;878.2376037823748;1542.0;1542.0;1542.0;114
dv1.sparql;38.0;4.0;8.117647058823529;8.022486778901357;4.0;4.0;4.0;17
sd1.sparql;90.0;7.0;18.142857142857146;21.989008243131014;7.0;7.0;7.0;14
duc1.sparql;138.0;4.0;15.300000000000002;29.20544289574877;4.0;4.0;4.0;20
vd2.sparql;1546.0;634.0;826.3636363636364;287.76284427537644;634.0;634.0;634.0;11
vd1.sparql;72.0;7.0;26.0;24.640269015229055;7.0;7.0;7.0;8
vd3.sparql;84.0;27.0;37.15384615384615;15.469573113298644;27.0;27.0;27.0;13
vd5.sparql;904.0;578.0;667.25;114.47738391739841;578.0;578.0;578.0;8
vf2.sparql;7366.0;3838.0;4713.189655172414;812.5578712639019;3838.0;3838.0;3838.0;116
vf3.sparql;6045.0;3834.0;4183.198198198198;603.5974097754505;3834.0;3834.0;3834.0;111
duc2.sparql;3023.0;574.0;914.7272727272727;734.7437772324568;574.0;574.0;574.0;11
duc5.sparql;1253.0;537.0;725.2142857142857;246.64991651869926;537.0;537.0;537.0;14
duc3.sparql;85.0;21.0;32.93333333333333;16.769303020982232;21.0;21.0;21.0;15
duc4.sparql;213.0;167.0;184.63636363636363;17.419946769566934;167.0;167.0;167.0;11
vf4.sparql;4473.0;1791.0;1929.9765625;272.03865707362485;1791.0;1791.0;1791.0;128
sd3.sparql;245.0;8.0;31.6875;59.013804882134714;8.0;8.0;8.0;16
sd2.sparql;50.0;8.0;15.09090909090909;12.144583528919757;8.0;8.0;8.0;11
dp3.sparql;44.0;7.0;12.650000000000002;8.94588997073075;7.0;7.0;7.0;20
qd4.sparql;1230.0;887.0;967.8333333333334;94.37529851447873;887.0;887.0;887.0;12
dsv1.sparql;83.0;3.0;9.941176470588237;18.912530859972495;3.0;3.0;3.0;17
qd3.sparql;1020.0;651.0;756.5555555555555;150.87918271841804;651.0;651.0;651.0;9
dsv2.sparql;104.0;14.0;34.8;25.853433040894203;14.0;14.0;14.0;10
dsv4.sparql;4746.0;2673.0;3177.5714285714284;712.3830564012728;2673.0;2673.0;2673.0;7
dsv3.sparql;50.0;4.0;9.615384615384617;12.480240793206288;4.0;4.0;4.0;13
qd1.sparql;41.0;20.0;27.0;7.615773105863909;20.0;20.0;20.0;11
qd2.sparql;678.0;428.0;488.7894736842105;72.05443848412918;428.0;428.0;428.0;19
qd6.sparql;1074.0;1013.0;1023.0;17.555625878902752;1013.0;1013.0;1013.0;11
qd5.sparql;656.0;391.0;447.35714285714283;68.80698437586913;391.0;391.0;391.0;14
dsv6.sparql;927.0;481.0;594.8461538461538;180.48723230644606;481.0;481.0;481.0;13
dp1.sparql;32.0;3.0;6.799999999999999;7.123402076455965;3.0;3.0;3.0;15
dp4.sparql;68.0;9.0;19.533333333333335;14.201944870166132;9.0;9.0;9.0;15
dp2.sparql;16.0;10.0;12.2;2.4899799195977463;10.0;10.0;10.0;5
