query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;44.0;17.0;22.35;6.937882279652473;17.0;17.0;17.0;20
duc6.sparql;95.0;10.0;17.571428571428573;22.31837561539572;10.0;10.0;10.0;14
vd7.sparql;152.0;76.0;84.9;17.823402711337874;76.0;76.0;76.0;20
vf2b.sparql;516.0;55.0;100.09090909090908;138.00540173881205;55.0;55.0;55.0;11
vd6.sparql;93.0;14.0;23.166666666666664;22.204968049078705;14.0;14.0;14.0;12
vf3b.sparql;6023.0;1595.0;1888.764705882353;1071.1118947973973;1595.0;1595.0;1595.0;17
dv1.sparql;842.0;2.0;11.171717171717164;84.35602883067959;2.0;2.0;2.0;99
sd1.sparql;11.0;6.0;7.666666666666667;1.4960264830861913;6.0;6.0;6.0;15
duc1.sparql;71.0;11.0;16.36842105263158;13.363343420283005;11.0;11.0;11.0;19
vd5.sparql;234.0;45.0;61.10526315789474;43.96197187070018;45.0;45.0;45.0;19
vd1.sparql;21.0;3.0;5.428571428571429;4.669282364796308;3.0;3.0;3.0;14
vd3.sparql;24.0;7.0;10.666666666666666;5.338539126015656;7.0;7.0;7.0;9
vd2.sparql;43.0;12.0;17.153846153846153;8.365067780619531;12.0;12.0;12.0;13
vf2.sparql;266.0;99.0;113.5;40.93572197156578;99.0;99.0;99.0;16
vf3.sparql;2573.0;1042.0;1145.25;380.76370625362915;1042.0;1042.0;1042.0;16
duc4.sparql;198.0;24.0;40.64705882352941;41.05018449482077;24.0;24.0;24.0;17
duc3.sparql;84.0;6.0;10.449999999999998;17.355341965424994;6.0;6.0;6.0;20
duc5.sparql;505.0;288.0;328.8;73.23075076184088;288.0;288.0;288.0;15
duc2.sparql;26.0;14.0;18.3125;4.541934242882284;14.0;14.0;14.0;16
vf4.sparql;1333.0;252.0;313.1052631578947;247.02269233071647;252.0;252.0;252.0;19
sd3.sparql;34.0;3.0;6.75;8.645808232895291;3.0;3.0;3.0;12
sd2.sparql;3.0;1.0;1.8333333333333333;0.5773502691896257;1.0;1.0;1.0;12
dp3.sparql;6.0;3.0;4.352941176470588;0.8617697249402124;3.0;3.0;3.0;17
dsv2.sparql;835.0;29.0;42.388235294117656;87.13018367685807;29.0;29.0;29.0;85
qd4.sparql;959.0;8.0;87.83333333333331;274.3480978390024;8.0;8.0;8.0;12
dsv1.sparql;1845.0;59.0;88.48275862068961;190.87045783992448;59.0;59.0;59.0;87
qd3.sparql;25.0;13.0;16.058823529411764;2.9041046002876283;13.0;13.0;13.0;17
dsv4.sparql;2433.0;1345.0;1413.15;146.52351951871722;1345.0;1345.0;1345.0;80
dsv3.sparql;24.0;1.0;2.4252873563218396;2.3851877402001405;1.0;1.0;1.0;87
qd1.sparql;8.0;4.0;5.714285714285714;1.5898026693500447;4.0;4.0;4.0;14
qd2.sparql;13.0;6.0;8.263157894736842;2.130260945496216;6.0;6.0;6.0;19
qd5.sparql;492.0;23.0;58.93333333333333;119.86865828103373;23.0;23.0;23.0;15
qd6.sparql;228.0;51.0;75.8;53.87186443569387;51.0;51.0;51.0;10
dsv6.sparql;610.0;76.0;93.7794117647059;65.4380978056738;76.0;76.0;76.0;68
dp1.sparql;24.0;2.0;4.1818181818181825;6.5851071641725305;2.0;2.0;2.0;11
dp2.sparql;7.0;3.0;4.15;1.0894228312566057;3.0;3.0;3.0;20
dp4.sparql;7.0;5.0;5.875;0.9910312089651149;5.0;5.0;5.0;8
