query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;22.0;18.0;19.8;1.7888543819998317;18.0;18.0;18.0;5
duc6.sparql;83.0;10.0;16.166666666666664;16.77620864410634;10.0;10.0;10.0;18
vd7.sparql;145.0;72.0;81.0;12.321280513338381;72.0;72.0;72.0;44
vf2b.sparql;1976.0;42.0;128.95833333333337;393.4995142990944;42.0;42.0;42.0;24
vd6.sparql;128.0;10.0;17.94736842105263;26.734234573774767;10.0;10.0;10.0;19
vf3b.sparql;3225.0;1607.0;1717.28;353.8313534251405;1607.0;1607.0;1607.0;25
sd1.sparql;34.0;6.0;8.5;5.181877251716008;6.0;6.0;6.0;28
dv1.sparql;200.0;2.0;9.714285714285712;37.296467058241;2.0;2.0;2.0;28
duc1.sparql;147.0;11.0;20.38095238095238;29.136705699986376;11.0;11.0;11.0;21
vd1.sparql;360.0;3.0;16.344827586206893;66.09910084868723;3.0;3.0;3.0;29
vd2.sparql;52.0;12.0;15.833333333333332;8.073933725087262;12.0;12.0;12.0;24
vd5.sparql;123.0;49.0;56.72727272727273;12.72859165243922;49.0;49.0;49.0;33
vd3.sparql;27.0;7.0;8.90625;3.5410894532797434;7.0;7.0;7.0;32
vf2.sparql;281.0;108.0;128.04545454545453;40.33488065437404;108.0;108.0;108.0;22
vf3.sparql;4654.0;1600.0;1817.125;758.8912855826803;1600.0;1600.0;1600.0;16
duc4.sparql;823.0;24.0;68.65000000000002;177.6102400438135;24.0;24.0;24.0;20
duc5.sparql;477.0;267.0;282.5357142857143;38.87251923046345;267.0;267.0;267.0;28
duc2.sparql;40.0;15.0;18.727272727272727;5.504818825631803;15.0;15.0;15.0;22
duc3.sparql;44.0;5.0;8.476190476190478;8.298307343181783;5.0;5.0;5.0;21
sd3.sparql;44.0;3.0;5.363636363636365;7.012569882977024;3.0;3.0;3.0;33
vf4.sparql;2061.0;387.0;492.1176470588236;404.46521518434383;387.0;387.0;387.0;17
sd2.sparql;3.0;1.0;2.0;0.6030226891555273;1.0;1.0;1.0;34
dp3.sparql;12.0;4.0;5.315789473684211;1.5614487929033003;4.0;4.0;4.0;38
qd4.sparql;38.0;7.0;9.272727272727273;4.657395401282789;7.0;7.0;7.0;44
dsv1.sparql;2386.0;60.0;187.2;517.8089060241189;60.0;60.0;60.0;20
qd3.sparql;36.0;14.0;17.428571428571427;5.163055573702732;14.0;14.0;14.0;21
dsv2.sparql;52.0;29.0;34.05263157894737;5.749141812387947;29.0;29.0;29.0;19
dsv4.sparql;2531.0;1440.0;1559.04;300.2728592463861;1440.0;1440.0;1440.0;25
dsv3.sparql;27.0;2.0;3.5882352941176467;6.042131489894648;2.0;2.0;2.0;17
qd1.sparql;177.0;4.0;9.694444444444443;28.69526535803867;4.0;4.0;4.0;36
qd6.sparql;129.0;54.0;63.21621621621622;12.8757634835875;54.0;54.0;54.0;37
qd5.sparql;57.0;22.0;26.545454545454547;6.910548590248233;22.0;22.0;22.0;33
qd2.sparql;14.0;6.0;7.75;2.0945397523545712;6.0;6.0;6.0;32
dsv6.sparql;269.0;76.0;91.72727272727272;39.97639996438591;76.0;76.0;76.0;22
dp1.sparql;28.0;1.0;3.3103448275862073;4.796601834899532;1.0;1.0;1.0;29
dp2.sparql;5.0;3.0;3.6470588235294117;0.6911717297975238;3.0;3.0;3.0;34
dp4.sparql;9.0;4.0;5.76;1.3;4.0;4.0;4.0;25
