query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
qd2.sql;69.0;6.0;28.0;35.53871128783372;6.0;6.0;6.0;3
vf4.sql;389.0;8.0;76.83333333333334;152.9881259008903;8.0;8.0;8.0;6
vd7.sql;1596.0;15.0;225.0;554.243886492477;15.0;15.0;15.0;8
sd2.sql;409.0;153.0;211.2;110.87019437161639;153.0;153.0;153.0;5
duc6.sql;5652.0;240.0;1364.2;2397.2257298802715;240.0;240.0;240.0;5
dp4.sql;134.0;4.0;37.25;64.50516775163574;4.0;4.0;4.0;4
qd3.sql;10.0;8.0;8.666666666666666;1.1547005383792517;8.0;8.0;8.0;3
vd3.sql;54.0;5.0;21.666666666666664;28.00595174839329;5.0;5.0;5.0;3
dsv3.sql;2.0;0.0;0.4095238095238095;0.5131958333521063;0.0;0.0;0.0;105
dsv5.sql;217390.0;71432.0;79359.40952380952;13752.32749230754;71432.0;71432.0;71432.0;105
dp1.sql;7.0;1.0;2.909090909090909;2.0225995873897267;1.0;1.0;1.0;11
qd1.sql;393.0;1.0;50.625;138.34319385395975;1.0;1.0;1.0;8
sd3.sql;457.0;72.0;155.5;124.41864811996632;72.0;72.0;72.0;8
vf2b.sql;1222.0;908.0;1046.1666666666667;120.89733936967623;908.0;908.0;908.0;6
duc2.sql;2150.0;67.0;409.5714285714286;768.9124044481827;67.0;67.0;67.0;7
vf3b.sql;66.0;24.0;48.333333333333336;21.77919496522618;24.0;24.0;24.0;3
qd4.sql;107.0;2.0;16.333333333333336;34.05143168796285;2.0;2.0;2.0;9
duc7.sql;270.0;70.0;139.66666666666666;112.961645408224;70.0;70.0;70.0;3
dsv5b.sql;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99
dsv4.sql;1710.0;810.0;971.5652173913044;150.28955966369807;810.0;810.0;810.0;92
vd5.sql;182.0;6.0;42.75;57.39026796542126;6.0;6.0;6.0;8
dsv6.sql;512.0;116.0;194.04672897196258;84.66642460964422;116.0;116.0;116.0;107
duc3.sql;260.0;120.0;160.2;56.49955752039126;120.0;120.0;120.0;5
dp2.sql;7.0;4.0;5.5;2.1213203435596424;4.0;4.0;4.0;2
qd5.sql;19.0;1.0;5.333333333333334;7.061633427661525;1.0;1.0;1.0;6
vf2.sql;49699.0;698.0;8976.166666666668;19950.251260740217;698.0;698.0;698.0;6
dv1.sql;3.0;0.0;0.752808988764045;0.5283098883232283;0.0;0.0;0.0;89
dsv1.sql;69.0;3.0;6.380434782608695;6.783694722981058;3.0;3.0;3.0;92
vd1.sql;9.0;1.0;3.5714285714285716;2.760262237369417;1.0;1.0;1.0;7
vf3.sql;1260.0;20.0;237.5;501.07075348697015;20.0;20.0;20.0;6
duc4.sql;544.0;105.0;257.5;197.72118416261486;105.0;105.0;105.0;4
dp3.sql;20.0;1.0;8.0;8.286535263104035;1.0;1.0;1.0;4
qd6.sql;117.0;9.0;32.285714285714285;38.17378806508591;9.0;9.0;9.0;7
duc1.sql;140.0;2.0;21.0;48.14264518817268;2.0;2.0;2.0;8
sd1.sql;179.0;145.0;160.88888888888889;11.983785341498367;145.0;145.0;145.0;9
vd6.sql;297.0;107.0;196.16666666666666;70.66658805027073;107.0;107.0;107.0;6
duc5.sql;310.0;92.0;197.33333333333334;80.15900864323777;92.0;92.0;92.0;6
dsv2.sql;1998.0;3.0;54.07843137254904;196.66847443634424;3.0;3.0;3.0;102
vd2.sql;183.0;5.0;33.125;60.729934957976035;5.0;5.0;5.0;8
