query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc6.cy;22616.0;49.0;963.4800000000004;4510.950593832746;49.0;49.0;49.0;25
duc4.cy;266.0;73.0;93.52000000000001;37.75703025044917;73.0;73.0;73.0;25
duc2.cy;12494.0;33.0;540.6400000000001;2490.291463530591;33.0;33.0;33.0;25
dsv5b.cy;13.0;3.0;4.48;2.2934689882359427;3.0;3.0;3.0;25
qd3.cy;471.0;12.0;34.47999999999999;91.07465801930486;12.0;12.0;12.0;25
vd5.cy;179.0;3.0;11.52;34.90477522250119;3.0;3.0;3.0;25
vd3.cy;102.0;3.0;8.479999999999997;19.572770200800235;3.0;3.0;3.0;25
qd1.cy;142.0;3.0;9.36;27.649412290318214;3.0;3.0;3.0;25
vd7.cy;588.0;6.0;31.76000000000001;115.89444910492192;6.0;6.0;6.0;25
qd5.cy;163.0;4.0;12.839999999999996;31.335124062304256;4.0;4.0;4.0;25
vf3.cy;489.0;4.0;24.799999999999994;96.7173717591623;4.0;4.0;4.0;25
dsv5.cy;51.0;3.0;6.400000000000001;9.336309049440615;3.0;3.0;3.0;25
vd2.cy;144.0;6.0;14.479999999999999;27.10799390093877;6.0;6.0;6.0;25
sd2.cy;127.0;42.0;52.67999999999999;17.29576055955139;42.0;42.0;42.0;25
dp2.cy;495.0;3.0;24.08000000000001;98.11596879883177;3.0;3.0;3.0;25
dsv1.cy;9270.0;82.0;472.03999999999996;1833.1871262912582;82.0;82.0;82.0;25
dp4.cy;297.0;3.0;16.320000000000004;58.49054054574406;3.0;3.0;3.0;25
dsv3.cy;52.0;3.0;5.68;9.72848052541266;3.0;3.0;3.0;25
duc7.cy;105.0;26.0;35.72;15.37725593205758;26.0;26.0;26.0;25
dv1.cy;30.0;3.0;5.5600000000000005;5.2048054718692365;3.0;3.0;3.0;25
vf2b.cy;8.0;3.0;4.84;1.4910846164230025;3.0;3.0;3.0;25
duc3.cy;402.0;72.0;102.32;65.90695461532621;72.0;72.0;72.0;25
duc5.cy;656.0;81.0;117.16000000000001;113.00946862984539;81.0;81.0;81.0;25
duc1.cy;23.0;4.0;5.5600000000000005;3.708998067762596;4.0;4.0;4.0;25
qd2.cy;196.0;3.0;11.600000000000003;38.4252521136817;3.0;3.0;3.0;25
vd6.cy;149.0;38.0;49.67999999999999;21.803516535947438;38.0;38.0;38.0;25
vf3b.cy;12.0;4.0;5.32;1.8645821694595999;4.0;4.0;4.0;25
qd4.cy;382.0;3.0;20.840000000000007;75.28871097315984;3.0;3.0;3.0;25
qd6.cy;335.0;3.0;18.0;66.04859322246513;3.0;3.0;3.0;25
dsv6.cy;49499.0;10606.0;13463.439999999999;7666.031834658658;10606.0;10606.0;10606.0;25
sd1.cy;205.0;48.0;67.84;30.02454551418445;48.0;48.0;48.0;25
vf4.cy;280.0;4.0;17.160000000000004;54.894353079346885;4.0;4.0;4.0;25
vf2.cy;13747.0;72.0;631.9600000000004;2732.3551117427373;72.0;72.0;72.0;25
dsv4.cy;23068.0;5448.0;7424.32;3385.6677298085037;5448.0;5448.0;5448.0;25
sd3.cy;121.0;59.0;72.48;12.984349553725567;59.0;59.0;59.0;25
vd1.cy;40.0;4.0;6.68;7.010230619126114;4.0;4.0;4.0;25
dp1.cy;3069.0;3.0;126.75999999999993;612.9681394656658;3.0;3.0;3.0;25
dp3.cy;1007.0;3.0;44.239999999999995;200.57610359495308;3.0;3.0;3.0;25
dsv2.cy;2939.0;223.0;368.75999999999993;537.8256594845582;223.0;223.0;223.0;25
