query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;1234.0;586.0;658.28;144.04817481199356;586.0;586.0;586.0;25
duc6.sparql;556.0;99.0;205.44;106.17755569485169;99.0;99.0;99.0;25
vd7.sparql;1023.0;861.0;925.8;52.83701354164522;861.0;861.0;861.0;25
vf2b.sparql;3678.0;2327.0;2795.12;403.4875380149099;2327.0;2327.0;2327.0;25
vd6.sparql;86.0;18.0;29.08;13.521341156359702;18.0;18.0;18.0;25
dsv5b.sparql;9135.0;5439.0;6330.16;1086.9602369298827;5439.0;5439.0;5439.0;25
vf3b.sparql;2284.0;1622.0;1864.72;202.49290522550825;1622.0;1622.0;1622.0;25
dv1.sparql;41.0;3.0;6.5200000000000005;7.275071591858509;3.0;3.0;3.0;25
sd1.sparql;107.0;7.0;15.0;19.981241202688086;7.0;7.0;7.0;25
duc1.sparql;190.0;4.0;15.119999999999996;36.66096925432642;4.0;4.0;4.0;25
vd1.sparql;47.0;7.0;12.120000000000001;7.896834808959855;7.0;7.0;7.0;25
vd2.sparql;1055.0;650.0;733.76;135.83147646992578;650.0;650.0;650.0;25
vd3.sparql;115.0;29.0;43.84;17.824795463997148;29.0;29.0;29.0;25
vd5.sparql;1004.0;597.0;680.96;125.59507686742079;597.0;597.0;597.0;25
vf2.sparql;7470.0;4049.0;4687.56;782.146889443835;4049.0;4049.0;4049.0;25
vf3.sparql;6456.0;3932.0;4465.48;691.8135056983684;3932.0;3932.0;3932.0;25
duc2.sparql;920.0;552.0;592.32;86.17990871813839;552.0;552.0;552.0;25
duc3.sparql;132.0;20.0;32.92;21.416348895178185;20.0;20.0;20.0;25
duc4.sparql;541.0;163.0;213.28;84.09494634043119;163.0;163.0;163.0;25
duc5.sparql;1731.0;515.0;753.68;306.6213354176994;515.0;515.0;515.0;25
sd3.sparql;68.0;9.0;15.760000000000002;11.417384405662565;9.0;9.0;9.0;25
vf4.sparql;2724.0;1840.0;2012.68;201.2864294150668;1840.0;1840.0;1840.0;25
sd2.sparql;83.0;9.0;15.12;14.512408483776902;9.0;9.0;9.0;25
dp3.sparql;223.0;9.0;21.44;42.128849972435745;9.0;9.0;9.0;25
dsv1.sparql;132.0;4.0;11.479999999999997;25.305006092339383;4.0;4.0;4.0;25
dsv2.sparql;823.0;8.0;59.40000000000001;160.0200508269719;8.0;8.0;8.0;25
qd3.sparql;1079.0;698.0;768.68;121.64522185437453;698.0;698.0;698.0;25
qd4.sparql;1102.0;924.0;956.24;35.617505059544335;924.0;924.0;924.0;25
dsv3.sparql;271.0;4.0;17.679999999999993;52.87147939421907;4.0;4.0;4.0;25
dsv4.sparql;11336.0;2474.0;3445.48;1806.6918691354097;2474.0;2474.0;2474.0;25
qd1.sparql;137.0;20.0;30.600000000000005;22.713799036415434;20.0;20.0;20.0;25
qd2.sparql;1067.0;467.0;663.72;137.75628237337608;467.0;467.0;467.0;25
qd5.sparql;816.0;387.0;445.12;94.71418408383543;387.0;387.0;387.0;25
qd6.sparql;1116.0;1012.0;1021.4;19.987496091306678;1012.0;1012.0;1012.0;25
dsv5.sparql;8388.0;3162.0;3547.6400000000003;1067.0089377944935;3162.0;3162.0;3162.0;25
dsv6.sparql;970.0;491.0;662.68;166.3842740966425;491.0;491.0;491.0;25
dp1.sparql;863.0;3.0;38.80000000000001;171.71124016790517;3.0;3.0;3.0;25
dp2.sparql;1286.0;7.0;61.68000000000001;255.08735758559263;7.0;7.0;7.0;25
dp4.sparql;150.0;10.0;22.56;27.236739893019504;10.0;10.0;10.0;25
