query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;35.0;16.0;23.833333333333332;8.01040989379861;16.0;16.0;16.0;6
duc6.sparql;24.0;11.0;14.25;6.5;11.0;11.0;11.0;4
vd7.sparql;147.0;74.0;86.46551724137932;13.097763994575262;74.0;74.0;74.0;58
vf2b.sparql;96.0;43.0;69.5;37.476659402887016;43.0;43.0;43.0;2
vd6.sparql;156.0;9.0;15.32608695652174;21.32713904637426;9.0;9.0;9.0;46
dsv5b.sparql;17604.0;15059.0;15825.333333333334;1014.9024912111837;15059.0;15059.0;15059.0;6
vf3b.sparql;4448.0;1536.0;2129.4;1296.1660001712744;1536.0;1536.0;1536.0;5
sd1.sparql;38.0;6.0;8.61111111111111;5.28219531081418;6.0;6.0;6.0;36
dv1.sparql;119.0;3.0;26.2;51.87677707799512;3.0;3.0;3.0;5
duc1.sparql;94.0;11.0;40.0;46.8081189538738;11.0;11.0;11.0;3
vd5.sparql;125.0;50.0;60.36585365853659;12.094949560789777;50.0;50.0;50.0;41
vd3.sparql;33.0;7.0;9.591836734693878;3.823819901545543;7.0;7.0;7.0;49
vd2.sparql;43.0;12.0;16.0;4.645096670352844;12.0;12.0;12.0;53
vd1.sparql;20.0;3.0;4.590909090909092;2.5272301394194123;3.0;3.0;3.0;44
vf2.sparql;200.0;117.0;139.4;34.49347764433154;117.0;117.0;117.0;5
vf3.sparql;3098.0;1584.0;1900.6;669.5411115084719;1584.0;1584.0;1584.0;5
duc5.sparql;508.0;280.0;339.0;112.72976536833562;280.0;280.0;280.0;4
duc4.sparql;30.0;26.0;27.75;1.707825127659933;26.0;26.0;26.0;4
duc3.sparql;36.0;9.0;22.5;19.091883092036785;9.0;9.0;9.0;2
duc2.sparql;18.0;18.0;18.0;0.0;18.0;18.0;18.0;2
sd3.sparql;38.0;3.0;5.081632653061225;4.919505118631846;3.0;3.0;3.0;49
vf4.sparql;1666.0;342.0;621.1666666666667;517.8565116580718;342.0;342.0;342.0;6
sd2.sparql;3.0;1.0;1.8043478260869565;0.6189440907219437;1.0;1.0;1.0;46
dp3.sparql;647.0;4.0;18.82978723404255;93.62676111977727;4.0;4.0;4.0;47
qd3.sparql;309.0;14.0;22.12307692307692;36.276502248488846;14.0;14.0;14.0;65
qd4.sparql;476.0;7.0;19.19565217391304;68.86818958148883;7.0;7.0;7.0;46
dsv1.sparql;2406.0;78.0;663.75;1161.5140621906678;78.0;78.0;78.0;4
dsv2.sparql;72.0;30.0;40.2;17.838161340227867;30.0;30.0;30.0;5
dsv4.sparql;2818.0;1458.0;1912.0;784.6196530803953;1458.0;1458.0;1458.0;3
dsv3.sparql;30.0;2.0;6.833333333333334;11.35634917861663;2.0;2.0;2.0;6
qd1.sparql;9.0;4.0;5.2105263157894735;1.04384669933913;4.0;4.0;4.0;38
qd2.sparql;391.0;6.0;17.6923076923077;61.369096391448;6.0;6.0;6.0;39
qd6.sparql;594.0;52.0;71.61702127659572;78.19973123257753;52.0;52.0;52.0;47
qd5.sparql;75.0;22.0;28.61111111111111;7.509532725876248;22.0;22.0;22.0;54
dsv5.sparql;7492.0;2780.0;3637.8333333333335;1890.5488532874963;2780.0;2780.0;2780.0;6
dsv6.sparql;187.0;79.0;133.0;76.36753236814714;79.0;79.0;79.0;2
dp1.sparql;9.0;2.0;2.717948717948718;1.2967310711883;2.0;2.0;2.0;39
dp2.sparql;8.0;3.0;3.851063829787234;0.9995373582912228;3.0;3.0;3.0;47
dp4.sparql;12.0;5.0;6.239130434782608;1.3692622930078586;5.0;5.0;5.0;46
