query_name;max;min;mean;stddev;0.5p;0.25p;0.75p;n
duc7.sparql;52.0;20.0;36.0;22.627416997969522;20.0;20.0;20.0;2
duc6.sparql;97.0;11.0;40.333333333333336;49.08496035786658;11.0;11.0;11.0;3
vd7.sparql;165.0;75.0;120.0;63.63961030678928;75.0;75.0;75.0;2
vf2b.sparql;185.0;41.0;48.25581395348837;11.684633830576718;41.0;41.0;41.0;172
vd6.sparql;17.0;10.0;13.5;4.949747468305833;10.0;10.0;10.0;2
vf3b.sparql;3207.0;1592.0;1626.5246913580247;154.4120968701677;1592.0;1592.0;1592.2225;162
dsv5b.sparql;15836.0;15025.0;15430.5;573.46359954229;15025.0;15025.0;15025.0;2
sd1.sparql;706.0;7.0;240.0;403.5678381635484;7.0;7.0;7.0;3
dv1.sparql;171.0;171.0;171.0;0.0;171.0;171.0;171.0;1
duc1.sparql;75.0;13.0;44.0;43.840620433565945;13.0;13.0;13.0;2
vd5.sparql;148.0;47.0;75.5;48.432083030432075;47.0;47.0;47.0;4
vd3.sparql;21.0;8.0;14.5;9.192388155425117;8.0;8.0;8.0;2
vd2.sparql;49.0;14.0;31.5;24.748737341529164;14.0;14.0;14.0;2
vf2.sparql;1559.0;95.0;111.6608187134503;111.65262114584478;95.0;95.0;95.0;171
vf3.sparql;6375.0;1570.0;1622.3076923076924;366.50100637693794;1570.0;1570.0;1570.3725;182
duc3.sparql;40.0;6.0;14.75;16.839932699786342;6.0;6.0;6.0;4
duc4.sparql;72.0;25.0;36.2;20.054924582256596;25.0;25.0;25.0;5
duc2.sparql;17.0;16.0;16.333333333333332;0.5773502691896258;16.0;16.0;16.0;3
duc5.sparql;907.0;273.0;590.0;448.3056992722711;273.0;273.0;273.0;2
vf4.sparql;3174.0;323.0;355.15508021390383;210.94231111023154;323.0;323.0;323.0;187
sd3.sparql;7.0;3.0;4.428571428571429;1.2724180205607034;3.0;3.0;3.0;7
dp3.sparql;18.0;18.0;18.0;0.0;18.0;18.0;18.0;1
dsv1.sparql;1656.0;85.0;488.25;778.624588617647;85.0;85.0;85.0;4
qd3.sparql;56.0;15.0;23.4;18.22909761891685;15.0;15.0;15.0;5
qd4.sparql;14.0;14.0;14.0;0.0;14.0;14.0;14.0;1
dsv3.sparql;22.0;2.0;9.0;11.269427669584644;2.0;2.0;2.0;3
dsv4.sparql;2332.0;1354.0;1519.0;398.29486564604366;1354.0;1354.0;1354.0;6
qd1.sparql;149.0;149.0;149.0;0.0;149.0;149.0;149.0;1
qd2.sparql;28.0;6.0;10.0;8.831760866327848;6.0;6.0;6.0;6
qd5.sparql;363.0;22.0;90.6;152.27705014216687;22.0;22.0;22.0;5
qd6.sparql;123.0;53.0;88.0;49.49747468305833;53.0;53.0;53.0;2
dsv5.sparql;17670.0;2680.0;5987.0;6544.909777834985;2680.0;2680.0;2680.0;5
dsv6.sparql;202.0;82.0;122.66666666666667;68.71195917257296;82.0;82.0;82.0;3
dp1.sparql;33.0;1.0;8.2;13.881642554107204;1.0;1.0;1.0;5
dp4.sparql;42.0;5.0;15.25;17.876893839068725;5.0;5.0;5.0;4
dp2.sparql;7.0;3.0;4.25;1.8929694486000912;3.0;3.0;3.0;4
